  0.5148E-02  0.5034E-02  0.2645E-03
  0.5118E-02  0.5013E-02  0.2630E-03
  0.5059E-02  0.4973E-02  0.2591E-03
  0.4977E-02  0.4918E-02  0.2513E-03
  0.4882E-02  0.4854E-02  0.2432E-03
  0.4791E-02  0.4787E-02  0.2441E-03
  0.4703E-02  0.4723E-02  0.2457E-03
  0.4620E-02  0.4669E-02  0.2425E-03
  0.4548E-02  0.4629E-02  0.2365E-03
  0.4478E-02  0.4605E-02  0.2153E-03
  0.4417E-02  0.4599E-02  0.1840E-03
  0.4377E-02  0.4609E-02  0.1572E-03
  0.4359E-02  0.4632E-02  0.1372E-03
  0.4355E-02  0.4663E-02  0.1219E-03
  0.4362E-02  0.4697E-02  0.1109E-03
  0.4372E-02  0.4728E-02  0.1029E-03
  0.4382E-02  0.4752E-02  0.9778E-04
  0.4388E-02  0.4765E-02  0.9543E-04
  0.4388E-02  0.4765E-02  0.9543E-04
  0.4382E-02  0.4752E-02  0.9778E-04
  0.4372E-02  0.4728E-02  0.1029E-03
  0.4362E-02  0.4697E-02  0.1109E-03
  0.4355E-02  0.4663E-02  0.1219E-03
  0.4359E-02  0.4632E-02  0.1372E-03
  0.4377E-02  0.4609E-02  0.1572E-03
  0.4417E-02  0.4599E-02  0.1840E-03
  0.4478E-02  0.4605E-02  0.2153E-03
  0.4548E-02  0.4629E-02  0.2365E-03
  0.4620E-02  0.4669E-02  0.2425E-03
  0.4703E-02  0.4723E-02  0.2457E-03
  0.4791E-02  0.4787E-02  0.2441E-03
  0.4882E-02  0.4854E-02  0.2432E-03
  0.4977E-02  0.4918E-02  0.2513E-03
  0.5059E-02  0.4973E-02  0.2591E-03
  0.5118E-02  0.5013E-02  0.2630E-03
  0.5148E-02  0.5034E-02  0.2645E-03
