************************************************************************************************************************************
*    Row   *        ix *      valx *       iQQ *     valQQ *        iz *      valz *      iPT2 *    valPT2 *        Ac *       Acc *
*      346 *         4 * 0.5500000 *         0 *         4 *         5 * 0.6499999 *         1 * 0.3000000 * -0.022543 * 0.0052618 *
*      350 *         4 * 0.5500000 *         0 *         4 *         6 *      0.75 *         0 * 0.1000000 * -0.013377 * 0.0009207 *
*      360 *         4 * 0.5500000 *         1 *         4 *         0 * 0.1500000 *         0 * 0.1000000 * -0.020221 * 0.0048953 *
*      365 *         4 * 0.5500000 *         1 *         4 *         1 *      0.25 *         0 * 0.1000000 * -0.015958 * 0.0049523 *
*      366 *         4 * 0.5500000 *         1 *         4 *         1 *      0.25 *         1 * 0.3000000 * -0.027641 * 0.0148576 *
*      370 *         4 * 0.5500000 *         1 *         4 *         2 * 0.3499999 *         0 * 0.1000000 * -0.014271 * 0.0044932 *
*      371 *         4 * 0.5500000 *         1 *         4 *         2 * 0.3499999 *         1 * 0.3000000 * -0.024720 * 0.0134802 *
*      375 *         4 * 0.5500000 *         1 *         4 *         3 * 0.4499999 *         0 * 0.1000000 * -0.013529 * 0.0037131 *
*      376 *         4 * 0.5500000 *         1 *         4 *         3 * 0.4499999 *         1 * 0.3000000 * -0.023433 * 0.0111397 *
*      377 *         4 * 0.5500000 *         1 *         4 *         3 * 0.4499999 *         2 *       0.5 * -0.030252 * 0.0185661 *
*      380 *         4 * 0.5500000 *         1 *         4 *         4 * 0.5500000 *         0 * 0.1000000 * -0.013140 * 0.0027391 *
*      381 *         4 * 0.5500000 *         1 *         4 *         4 * 0.5500000 *         1 * 0.3000000 * -0.022760 * 0.0082179 *
*      385 *         4 * 0.5500000 *         1 *         4 *         5 * 0.6499999 *         0 * 0.1000000 * -0.013015 * 0.0017538 *
*      386 *         4 * 0.5500000 *         1 *         4 *         5 * 0.6499999 *         1 * 0.3000000 * -0.022543 * 0.0052618 *
*      390 *         4 * 0.5500000 *         1 *         4 *         6 *      0.75 *         0 * 0.1000000 * -0.013377 * 0.0009207 *
************************************************************************************************************************************
