************************************************************************************************************************************
*    Row   *        ix *      valx *       iQQ *     valQQ *        iz *      valz *      iPT2 *    valPT2 *        Ac *       Acc *
*       54 *         0 * 0.1500000 *         1 * 1.3999999 *         2 * 0.3499999 *         4 * 0.8999999 * -0.174006 * 0.0222227 *
*       55 *         0 * 0.1500000 *         1 * 1.3999999 *         3 * 0.4499999 *         0 * 0.1000000 * -0.053632 * 0.0019903 *
*       56 *         0 * 0.1500000 *         1 * 1.3999999 *         3 * 0.4499999 *         1 * 0.3000000 * -0.092896 * 0.0059712 *
*       57 *         0 * 0.1500000 *         1 * 1.3999999 *         3 * 0.4499999 *         2 *       0.5 * -0.119928 * 0.0099520 *
*       58 *         0 * 0.1500000 *         1 * 1.3999999 *         3 * 0.4499999 *         3 * 0.6999999 * -0.141902 * 0.0139331 *
*       59 *         0 * 0.1500000 *         1 * 1.3999999 *         3 * 0.4499999 *         4 * 0.8999999 * -0.160902 * 0.0179138 *
*       60 *         0 * 0.1500000 *         1 * 1.3999999 *         4 * 0.5500000 *         0 * 0.1000000 * -0.050997 * 0.0014374 *
*       61 *         0 * 0.1500000 *         1 * 1.3999999 *         4 * 0.5500000 *         1 * 0.3000000 * -0.088332 * 0.0043124 *
*       62 *         0 * 0.1500000 *         1 * 1.3999999 *         4 * 0.5500000 *         2 *       0.5 * -0.114036 * 0.0071873 *
*       63 *         0 * 0.1500000 *         1 * 1.3999999 *         4 * 0.5500000 *         3 * 0.6999999 * -0.134930 * 0.0100624 *
*       64 *         0 * 0.1500000 *         1 * 1.3999999 *         4 * 0.5500000 *         4 * 0.8999999 * -0.152996 * 0.0129373 *
*       65 *         0 * 0.1500000 *         1 * 1.3999999 *         5 * 0.6499999 *         0 * 0.1000000 * -0.049226 * 0.0008969 *
*       66 *         0 * 0.1500000 *         1 * 1.3999999 *         5 * 0.6499999 *         1 * 0.3000000 * -0.085263 * 0.0026909 *
*       67 *         0 * 0.1500000 *         1 * 1.3999999 *         5 * 0.6499999 *         2 *       0.5 * -0.110074 * 0.0044849 *
*       68 *         0 * 0.1500000 *         1 * 1.3999999 *         5 * 0.6499999 *         3 * 0.6999999 * -0.130243 * 0.0062790 *
*       69 *         0 * 0.1500000 *         1 * 1.3999999 *         5 * 0.6499999 *         4 * 0.8999999 * -0.147681 * 0.0080729 *
*       70 *         0 * 0.1500000 *         1 * 1.3999999 *         6 *      0.75 *         0 * 0.1000000 * -0.048639 * 0.0004527 *
*       71 *         0 * 0.1500000 *         1 * 1.3999999 *         6 *      0.75 *         1 * 0.3000000 * -0.084247 * 0.0013581 *
*       72 *         0 * 0.1500000 *         1 * 1.3999999 *         6 *      0.75 *         2 *       0.5 * -0.108762 * 0.0022635 *
*       73 *         0 * 0.1500000 *         1 * 1.3999999 *         6 *      0.75 *         3 * 0.6999999 * -0.128690 * 0.0031690 *
*       74 *         0 * 0.1500000 *         1 * 1.3999999 *         6 *      0.75 *         4 * 0.8999999 * -0.145920 * 0.0040745 *
*       75 *         0 * 0.1500000 *         1 * 1.3999999 *         7 * 0.8500000 *         0 * 0.1000000 * -0.050428 * 0.0001531 *
*       76 *         0 * 0.1500000 *         1 * 1.3999999 *         7 * 0.8500000 *         1 * 0.3000000 * -0.087346 * 0.0004593 *
*       77 *         0 * 0.1500000 *         1 * 1.3999999 *         7 * 0.8500000 *         2 *       0.5 * -0.112762 * 0.0007656 *
*       78 *         0 * 0.1500000 *         1 * 1.3999999 *         7 * 0.8500000 *         3 * 0.6999999 * -0.133424 * 0.0010718 *
*       80 *         1 *      0.25 *         0 *       1.5 *         0 * 0.1500000 *         0 * 0.1000000 * -0.051297 * 0.0022779 *
*       85 *         1 *      0.25 *         0 *       1.5 *         1 *      0.25 *         0 * 0.1000000 * -0.038555 * 0.0021947 *
*       86 *         1 *      0.25 *         0 *       1.5 *         1 *      0.25 *         1 * 0.3000000 * -0.066781 * 0.0065844 *
*       90 *         1 *      0.25 *         0 *       1.5 *         2 * 0.3499999 *         0 * 0.1000000 * -0.033206 * 0.0019176 *
*       91 *         1 *      0.25 *         0 *       1.5 *         2 * 0.3499999 *         1 * 0.3000000 * -0.057517 * 0.0057532 *
*       92 *         1 *      0.25 *         0 *       1.5 *         2 * 0.3499999 *         2 *       0.5 * -0.074253 * 0.0095886 *
*       95 *         1 *      0.25 *         0 *       1.5 *         3 * 0.4499999 *         0 * 0.1000000 * -0.030529 * 0.0015369 *
*       96 *         1 *      0.25 *         0 *       1.5 *         3 * 0.4499999 *         1 * 0.3000000 * -0.052879 * 0.0046109 *
*       97 *         1 *      0.25 *         0 *       1.5 *         3 * 0.4499999 *         2 *       0.5 * -0.068266 * 0.0076849 *
*       98 *         1 *      0.25 *         0 *       1.5 *         3 * 0.4499999 *         3 * 0.6999999 * -0.080774 * 0.0107590 *
*      100 *         1 *      0.25 *         0 *       1.5 *         4 * 0.5500000 *         0 * 0.1000000 * -0.028849 * 0.0011030 *
*      101 *         1 *      0.25 *         0 *       1.5 *         4 * 0.5500000 *         1 * 0.3000000 * -0.049969 * 0.0033094 *
*      102 *         1 *      0.25 *         0 *       1.5 *         4 * 0.5500000 *         2 *       0.5 * -0.064510 * 0.0055156 *
*      103 *         1 *      0.25 *         0 *       1.5 *         4 * 0.5500000 *         3 * 0.6999999 * -0.076330 * 0.0077220 *
*      105 *         1 *      0.25 *         0 *       1.5 *         5 * 0.6499999 *         0 * 0.1000000 * -0.027688 * 0.0006844 *
*      106 *         1 *      0.25 *         0 *       1.5 *         5 * 0.6499999 *         1 * 0.3000000 * -0.047958 * 0.0020533 *
*      107 *         1 *      0.25 *         0 *       1.5 *         5 * 0.6499999 *         2 *       0.5 * -0.061913 * 0.0034221 *
*      108 *         1 *      0.25 *         0 *       1.5 *         5 * 0.6499999 *         3 * 0.6999999 * -0.073258 * 0.0047911 *
*      110 *         1 *      0.25 *         0 *       1.5 *         6 *      0.75 *         0 * 0.1000000 * -0.027238 * 0.0003439 *
*      111 *         1 *      0.25 *         0 *       1.5 *         6 *      0.75 *         1 * 0.3000000 * -0.047179 * 0.0010317 *
*      112 *         1 *      0.25 *         0 *       1.5 *         6 *      0.75 *         2 *       0.5 * -0.060907 * 0.0017196 *
*      115 *         1 *      0.25 *         0 *       1.5 *         7 * 0.8500000 *         0 * 0.1000000 * -0.028168 * 0.0001160 *
*      120 *         1 *      0.25 *         1 * 1.7999999 *         0 * 0.1500000 *         0 * 0.1000000 * -0.066674 * 0.0070304 *
*      121 *         1 *      0.25 *         1 * 1.7999999 *         0 * 0.1500000 *         1 * 0.3000000 * -0.115486 * 0.0210921 *
*      125 *         1 *      0.25 *         1 * 1.7999999 *         1 *      0.25 *         0 * 0.1000000 * -0.050715 * 0.0068551 *
