  0.1179E-01  0.1108E-01  0.1475E-02
  0.1154E-01  0.1102E-01  0.1333E-02
  0.1116E-01  0.1090E-01  0.1136E-02
  0.1073E-01  0.1074E-01  0.9380E-03
  0.1029E-01  0.1057E-01  0.7540E-03
  0.9903E-02  0.1041E-01  0.5934E-03
  0.9582E-02  0.1026E-01  0.4619E-03
  0.9350E-02  0.1016E-01  0.3650E-03
  0.9230E-02  0.1011E-01  0.3138E-03
  0.9230E-02  0.1011E-01  0.3138E-03
  0.9350E-02  0.1016E-01  0.3650E-03
  0.9582E-02  0.1026E-01  0.4619E-03
  0.9903E-02  0.1041E-01  0.5934E-03
  0.1029E-01  0.1057E-01  0.7540E-03
  0.1073E-01  0.1074E-01  0.9380E-03
  0.1116E-01  0.1090E-01  0.1136E-02
  0.1154E-01  0.1102E-01  0.1333E-02
  0.1179E-01  0.1108E-01  0.1475E-02
